                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.5753,                 1.3527,                  1.257,                0.46281,                0.25112,                0.18978,                0.09018,                 2.2578,                 2.2102,                 1.7967,             0.00064607,             0.00064607,             0.00064607
                     70,                 1.5706,                 1.3465,                 1.2565,                0.30678,                0.23228,                0.18804,                0.08905,                 2.2829,                 2.2452,                 1.8346,             0.00064333,             0.00064333,             0.00064333
                     71,                 1.5604,                 1.3352,                 1.2475,                0.32303,                0.23593,                0.18516,                0.08616,                 2.3379,                 2.3268,                 1.7905,             0.00064058,             0.00064058,             0.00064058
                     72,                 1.5882,                 1.3642,                 1.2598,                0.56149,                0.19052,                 0.1854,                0.08767,                 2.3048,                 2.3636,                 1.8173,             0.00063783,             0.00063783,             0.00063783
                     73,                 1.5229,                 1.3035,                 1.2204,                0.41209,                0.28582,                0.20944,                0.09296,                  2.271,                 2.2969,                 1.8185,             0.00063508,             0.00063508,             0.00063508
                     74,                 1.4757,                 1.2366,                 1.1757,                0.47692,                0.18356,                0.21897,                0.08683,                 2.2716,                 2.3648,                 1.8788,             0.00063233,             0.00063233,             0.00063233
                     75,                 1.5149,                 1.2231,                 1.2127,                0.51874,                 0.1803,                  0.178,                0.08604,                 2.2754,                 2.2101,                 1.8181,             0.00062958,             0.00062958,             0.00062958
                     76,                 1.5155,                  1.245,                 1.2069,                0.18725,                0.26484,                0.19606,                0.09204,                  2.272,                 2.2019,                 1.7393,             0.00062683,             0.00062683,             0.00062683
                     77,                 1.5394,                 1.2689,                 1.2409,                0.39328,                0.17489,                0.17101,                0.07997,                 2.3236,                 2.4184,                  1.829,             0.00062408,             0.00062408,             0.00062408
                     78,                 1.5496,                 1.3173,                 1.2664,                0.44796,                0.20324,                0.19904,                0.08629,                 2.3354,                 2.3363,                  1.864,             0.00062133,             0.00062133,             0.00062133
                     79,                 1.5375,                   1.27,                 1.2182,                 0.4457,                0.21937,                0.23922,                0.12035,                 2.3594,                 2.3499,                 1.8982,             0.00061859,             0.00061859,             0.00061859
                     80,                 1.5326,                 1.2439,                 1.2164,                0.50928,                0.18905,                0.17976,                0.09141,                 2.2975,                 2.2941,                 1.7574,             0.00061584,             0.00061584,             0.00061584
                     81,                 1.5031,                 1.2548,                 1.2029,                0.34299,                0.23599,                0.20375,                0.08713,                  2.307,                 2.3625,                 1.8295,             0.00061309,             0.00061309,             0.00061309
